...1,family,genus,species,binomial,1-1_ActivityCycle,abm_g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Eptesicus,kobayashii,Eptesicus kobayashii,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Eptesicus,tatei,Eptesicus tatei,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Chalinolobus,dwyeri,Chalinolobus dwyeri,-999,8.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Chalinolobus,gouldii,Chalinolobus gouldii,-999,14.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Chalinolobus,morio,Chalinolobus morio,-999,8.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Chalinolobus,neocaledonicus,Chalinolobus neocaledonicus,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Hesperoptenus,doriae,Hesperoptenus doriae,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Hesperoptenus,gaskelli,Hesperoptenus gaskelli,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Hesperoptenus,tickelli,Hesperoptenus tickelli,-999,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Hesperoptenus,tomesi,Hesperoptenus tomesi,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Barbastella,barbastellus,Barbastella barbastellus,-999,8.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Barbastella,leucomelas,Barbastella leucomelas,-999,15.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Bauerus,dubiaquercus,Bauerus dubiaquercus,-999,22.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Chalinolobus,nigrogriseus,Chalinolobus nigrogriseus,-999,8.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Chalinolobus,picatus,Chalinolobus picatus,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Chalinolobus,tuberculatus,Chalinolobus tuberculatus,2,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Cistugo,lesueuri,Cistugo lesueuri,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Cistugo,seabrae,Cistugo seabrae,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Corynorhinus,mexicanus,Corynorhinus mexicanus,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Corynorhinus,rafinesquii,Corynorhinus rafinesquii,-999,9.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Corynorhinus,townsendii,Corynorhinus townsendii,-999,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Eptesicus,japonensis,Eptesicus japonensis,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Eptesicus,andinus,Eptesicus andinus,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Eptesicus,bobrinskoi,Eptesicus bobrinskoi,-999,7.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Eptesicus,bottae,Eptesicus bottae,-999,15.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Eptesicus,brasiliensis,Eptesicus brasiliensis,-999,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Eptesicus,chiriquinus,Eptesicus chiriquinus,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Eptesicus,diminutus,Eptesicus diminutus,-999,5.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Eptesicus,dimissus,Eptesicus dimissus,-999,13.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Eptesicus,floweri,Eptesicus floweri,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Eptesicus,furinalis,Eptesicus furinalis,-999,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Eptesicus,fuscus,Eptesicus fuscus,-999,17.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Eptesicus,gobiensis,Eptesicus gobiensis,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Eptesicus,guadeloupensis,Eptesicus guadeloupensis,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Eptesicus,hottentotus,Eptesicus hottentotus,-999,30.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Eptesicus,innoxius,Eptesicus innoxius,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Euderma,maculatum,Euderma maculatum,-999,16.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Eudiscopus,denticulus,Eudiscopus denticulus,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Falsistrellus,affinis,Falsistrellus affinis,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Falsistrellus,mackenziei,Falsistrellus mackenziei,-999,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Falsistrellus,mordax,Falsistrellus mordax,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Falsistrellus,petersi,Falsistrellus petersi,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Falsistrellus,tasmaniensis,Falsistrellus tasmaniensis,-999,22.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Harpiocephalus,harpia,Harpiocephalus harpia,-999,13.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Harpiocephalus,mordax,Harpiocephalus mordax,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Glauconycteris,alboguttata,Glauconycteris alboguttata,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Glauconycteris,argentata,Glauconycteris argentata,-999,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Glauconycteris,beatrix,Glauconycteris beatrix,-999,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Glauconycteris,curryae,Glauconycteris curryae,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Glauconycteris,egeria,Glauconycteris egeria,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Glauconycteris,gleni,Glauconycteris gleni,-999,10.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Glauconycteris,humeralis,Glauconycteris humeralis,-999,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Glauconycteris,kenyacola,Glauconycteris kenyacola,-999,7.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Glauconycteris,machadoi,Glauconycteris machadoi,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Glauconycteris,poensis,Glauconycteris poensis,-999,6.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Glauconycteris,superba,Glauconycteris superba,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Glauconycteris,variegata,Glauconycteris variegata,-999,11.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Glischropus,javanus,Glischropus javanus,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Glischropus,tylopus,Glischropus tylopus,-999,4.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Kerivoula,africana,Kerivoula africana,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Kerivoula,agnella,Kerivoula agnella,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Kerivoula,argentata,Kerivoula argentata,-999,10.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
